Nom du Produit en Français	AGB 3.1  Score unique EF (mPt/kg de produit)
Carré de l'Est	0.48224978
Carrelet ou plie, cuit à la vapeur	2.3421423
Carrelet ou plie, pané, frit	2.3259068
Carvi, graine	1.423572
Cassis, cru	0.23645522
Cassoulet au canard ou oie, appertisé	0.30581265
Cassoulet au porc, appertisé	0.40949407
Cassoulet, appertisé	0.087628936
Céleri branche, appertisé, égoutté	0.13181968
Céleri branche, cru	0.069834424
Céleri branche, cuit	0.11316145
Céleri rémoulade, préemballé	0.16455835
Céleri-rave, cru	0.06540634
Céleri-rave, cuit	0.11350822
Céleri-rave, purée	0.086636811
Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux)	0.62001497
Céréales complètes soufflées, enrichies en vitamines et minéraux	0.63233444
Céréales instantanées, poudre à reconstituer, dès 4/6 mois	0.54947173
Céréales instantanées, poudre à reconstituer, dès 6 mois	0.54947173
Céréales pour petit déjeuner "équilibre" au chocolat (non enrichies en vitamines et minéraux)	0.62001497
Céréales pour petit déjeuner "équilibre" au chocolat, enrichies en vitamines et minéraux	0.62001497
Céréales pour petit déjeuner "équilibre" aux fruits (non enrichies en vitamines et minéraux)	0.63233444
Céréales pour petit déjeuner "équilibre" aux fruits secs (à coque), enrichis en vitamines et minéraux	0.63233444
Céréales pour petit déjeuner "équilibre" aux fruits, enrichies en vitamines et minéraux	0.63233444
Céréales pour petit déjeuner "équilibre" nature (non enrichies en vitamines et minéraux)	0.63233444
Céréales pour petit déjeuner "équilibre" nature ou au miel, enrichies en vitamines et minéraux	0.63233444
Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux	0.62001497
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes	0.62001497
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux	0.62001497
Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux	0.62001497
Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux	0.62001497
Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux	0.63233444
Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux	0.63233444
Cerfeuil, frais	0.13208131
Cerise, dénoyautée, crue	0.55139388
Cervelas	1.013314
Cervelas à l'ail, pur porc	0.75521422
Cervelas obernois	0.75521422
Cervelle, agneau, crue	2.4575922
Cervelle, agneau, cuite	3.400235
Cervelle, porc, braisée	0.40953668
Cervelle, porc, crue	0.27572801
Cervelle, veau, crue	1.7114355
Cervelle, veau, cuite	2.3774722
Chabichou (fromage de chèvre)	1.0165276
Chair à saucisse, crue	1.2669913
Chair à saucisse, porc et bœuf, crue	0.71621383
Chair à saucisse, pur porc, crue	0.71621383
Champagne	0.18491517
Champignon à la grecque	0.4167775
Champignon, morille, crue	0.082014431
Chaource	0.47551334
Chapon, viande et peau, cru	0.89570505
Chapon, viande et peau, rôti/cuit au four	1.2173911
Charlotte aux fruits	0.2572155
Châtaigne ou Marron, appertisé	0.36448072
Châtaigne, bouillie/cuite à l'eau	0.50283345
Châtaigne, crue	0.49888383
Châtaigne, grillée	0.47033226
Chausson aux pommes	0.2379373
Cheddar	0.56890518
Cheeseburger, provenant de fast food	1.7711993
Cheesecake ou Gâteau au fromage frais, rayon frais	0.3465445
Chevreau, cru	4.7043951
Chevreau, cuit	5.9557714
Chevrot (fromage de chèvre)	0.92560644
Chia, graine, séchée	0.87412361
Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau)	0.29766967
Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard)	0.29766967
Chicorée et café, poudre soluble	2.0799332
Chicorée rouge, crue	0.089800178
Chicorée verte, crue	0.089800178
Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)	0.14682456
Chili con carne	1.8402038
